"iso_code","location","date","FirstDate","Day","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","COUNTRY","LOG_TYPE","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","SOURCE"
"AUS","Australia",2020-01-25,2020-01-25,1,1,1,0,0,0.039,0.039,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-26,2020-01-25,2,4,3,0,0,0.157,0.118,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-27,2020-01-25,3,4,0,0,0,0.157,0,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-28,2020-01-25,4,4,0,0,0,0.157,0,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-29,2020-01-25,5,4,0,0,0,0.157,0,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-30,2020-01-25,6,6,2,0,0,0.235,0.078,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-01-31,2020-01-25,7,7,1,0,0,0.275,0.039,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-01,2020-01-25,8,9,2,0,0,0.353,0.078,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-02,2020-01-25,9,11,2,0,0,0.431,0.078,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-03,2020-01-25,10,11,0,0,0,0.431,0,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-04,2020-01-25,11,11,0,0,0,0.431,0,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-05,2020-01-25,12,12,1,0,0,0.471,0.039,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-06,2020-01-25,13,13,1,0,0,0.51,0.039,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia",2020-02-07,2020-01-25,14,14,1,0,0,0.549,0.039,0,0,NA,NA,NA,NA,"",25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,NA,NA,NA,NA,NA,NA,NA
